"data_id","age","language","form","birth_order","ethnicity","sex","zygosity","original_id","norming","longitudinal","source_name","mom_ed","measure","vocab","cross_sectional","demo","n","demo_label"
170665,23,"Spanish (Mexican)","WS","First",NA,"Female",NA,"314",TRUE,FALSE,"Marchman","College","production",374,TRUE,"All Data",1092,"All Data (n = 1092)"
170666,25,"Spanish (Mexican)","WS","Second",NA,"Male",NA,"315",TRUE,FALSE,"Marchman","College","production",41,TRUE,"All Data",1092,"All Data (n = 1092)"
170667,24,"Spanish (Mexican)","WS","Fifth",NA,"Male",NA,"316",TRUE,FALSE,"Marchman","College","production",10,TRUE,"All Data",1092,"All Data (n = 1092)"
170668,25,"Spanish (Mexican)","WS","First",NA,"Male",NA,"317",TRUE,FALSE,"Marchman","Some Secondary","production",142,TRUE,"All Data",1092,"All Data (n = 1092)"
170669,24,"Spanish (Mexican)","WS","First",NA,"Male",NA,"318",TRUE,FALSE,"Marchman","College","production",189,TRUE,"All Data",1092,"All Data (n = 1092)"
170670,23,"Spanish (Mexican)","WS","Second",NA,"Male",NA,"319",TRUE,FALSE,"Marchman","Some Secondary","production",11,TRUE,"All Data",1092,"All Data (n = 1092)"
170671,23,"Spanish (Mexican)","WS",NA,NA,"Male",NA,"320",TRUE,FALSE,"Marchman","Secondary","production",43,TRUE,"All Data",1092,"All Data (n = 1092)"
170672,25,"Spanish (Mexican)","WS","Third",NA,"Male",NA,"321",TRUE,FALSE,"Marchman","Some Secondary","production",288,TRUE,"All Data",1092,"All Data (n = 1092)"
170673,24,"Spanish (Mexican)","WS","Second",NA,"Female",NA,"322",TRUE,FALSE,"Marchman","College","production",179,TRUE,"All Data",1092,"All Data (n = 1092)"
170674,23,"Spanish (Mexican)","WS","First",NA,"Female",NA,"323",TRUE,FALSE,"Marchman","Secondary","production",577,TRUE,"All Data",1092,"All Data (n = 1092)"
170675,23,"Spanish (Mexican)","WS",NA,NA,"Female",NA,"324",TRUE,FALSE,"Marchman","Secondary","production",580,TRUE,"All Data",1092,"All Data (n = 1092)"
170676,23,"Spanish (Mexican)","WS","Third",NA,"Female",NA,"325",TRUE,FALSE,"Marchman","Some Secondary","production",338,TRUE,"All Data",1092,"All Data (n = 1092)"
170677,23,"Spanish (Mexican)","WS","Third",NA,"Female",NA,"326",TRUE,FALSE,"Marchman","Secondary","production",208,TRUE,"All Data",1092,"All Data (n = 1092)"
170678,24,"Spanish (Mexican)","WS","First",NA,"Female",NA,"327",TRUE,FALSE,"Marchman","Some Secondary","production",333,TRUE,"All Data",1092,"All Data (n = 1092)"
170679,26,"Spanish (Mexican)","WS","Second",NA,"Male",NA,"329",TRUE,FALSE,"Marchman","Secondary","production",365,TRUE,"All Data",1092,"All Data (n = 1092)"
