"data_id","age","language","form","birth_order","ethnicity","sex","zygosity","original_id","norming","longitudinal","source_name","mom_ed","measure","vocab","cross_sectional","demo","n","demo_label"
172000,15,"Spanish (Mexican)","WG","First",NA,"Male",NA,"513",TRUE,FALSE,"Marchman","Secondary","production",39,TRUE,"All Data",760,"All Data (n = 760)"
172001,18,"Spanish (Mexican)","WG","Second",NA,"Female",NA,"700",TRUE,FALSE,"Marchman","College","production",30,TRUE,"All Data",760,"All Data (n = 760)"
172002,18,"Spanish (Mexican)","WG","Sixth",NA,"Female",NA,"701",TRUE,FALSE,"Marchman","College","production",85,TRUE,"All Data",760,"All Data (n = 760)"
172003,18,"Spanish (Mexican)","WG","Second",NA,"Female",NA,"702",TRUE,FALSE,"Marchman","Some Secondary","production",9,TRUE,"All Data",760,"All Data (n = 760)"
172005,18,"Spanish (Mexican)","WG","Second",NA,"Male",NA,"704",TRUE,FALSE,"Marchman","College","production",31,TRUE,"All Data",760,"All Data (n = 760)"
172007,18,"Spanish (Mexican)","WG","Second",NA,"Female",NA,"706",TRUE,FALSE,"Marchman","College","production",12,TRUE,"All Data",760,"All Data (n = 760)"
172008,18,"Spanish (Mexican)","WG","Fourth",NA,"Female",NA,"707",TRUE,FALSE,"Marchman","Secondary","production",9,TRUE,"All Data",760,"All Data (n = 760)"
172009,18,"Spanish (Mexican)","WG","First",NA,"Male",NA,"708",TRUE,FALSE,"Marchman","Secondary","production",11,TRUE,"All Data",760,"All Data (n = 760)"
172010,18,"Spanish (Mexican)","WG","Second",NA,"Male",NA,"710",TRUE,FALSE,"Marchman","Secondary","production",138,TRUE,"All Data",760,"All Data (n = 760)"
172011,16,"Spanish (Mexican)","WG","Second",NA,"Female",NA,"711",TRUE,FALSE,"Marchman","Secondary","production",19,TRUE,"All Data",760,"All Data (n = 760)"
172012,15,"Spanish (Mexican)","WG","First",NA,"Male",NA,"712",TRUE,FALSE,"Marchman","Some Secondary","production",17,TRUE,"All Data",760,"All Data (n = 760)"
